Ref,Val,Package,PosX,PosY,Rot,Side
"C1","20pF","C_0805_HandSoldering",115.804000,-70.231000,0.000000,top
"C2","20pF","C_0805_HandSoldering",115.740500,-67.564000,0.000000,top
"C3","1uF","C_0805_HandSoldering",134.874000,-141.445500,90.000000,top
"C4","1uF","C_0805_HandSoldering",127.437000,-72.174100,180.000000,top
"C5","1uF","C_0805_HandSoldering",96.520000,-83.553300,0.000000,top
"C6","1uF","C_0805_HandSoldering",127.376000,-90.614500,180.000000,top
"C7","1uF","C_0805_HandSoldering",158.496000,-83.400900,180.000000,top
"C8","1uF","C_0805_HandSoldering",126.187000,-133.438500,90.000000,top
"C9","1uF","C_0805_HandSoldering",128.701000,-133.419500,90.000000,top
"MCU1","ATtiny85-20PU","ATtiny85_SMD",99.089000,-68.961000,180.000000,top
"R1","10k","R_0805",134.112000,-68.653700,270.000000,top
"U1","WS2812B","LED_WS2812B-PLCC4",89.662000,-87.312500,0.000000,top
"U2","WS2812B","LED_WS2812B-PLCC4",89.662000,-78.422500,0.000000,top
"U3","WS2812B","LED_WS2812B-PLCC4",89.662000,-69.532500,0.000000,top
"U4","WS2812B","LED_WS2812B-PLCC4",89.662000,-60.642500,0.000000,top
"U5","WS2812B","LED_WS2812B-PLCC4",101.092000,-60.642500,0.000000,top
"U6","WS2812B","LED_WS2812B-PLCC4",112.522000,-60.642500,0.000000,top
"U7","WS2812B","LED_WS2812B-PLCC4",122.682000,-60.642500,0.000000,top
"U8","WS2812B","LED_WS2812B-PLCC4",132.842000,-60.642500,0.000000,top
"U9","WS2812B","LED_WS2812B-PLCC4",142.962000,-60.642500,0.000000,top
"U10","WS2812B","LED_WS2812B-PLCC4",154.432000,-60.642500,0.000000,top
"U11","WS2812B","LED_WS2812B-PLCC4",165.227000,-60.642500,0.000000,top
"U12","WS2812B","LED_WS2812B-PLCC4",165.227000,-69.532500,0.000000,top
"U13","WS2812B","LED_WS2812B-PLCC4",165.227000,-78.422500,0.000000,top
"U14","WS2812B","LED_WS2812B-PLCC4",165.187000,-87.312500,0.000000,top
"U15","WS2812B","LED_WS2812B-PLCC4",151.801000,-87.312500,0.000000,top
"U16","WS2812B","LED_WS2812B-PLCC4",151.598000,-76.222500,0.000000,top
"U17","WS2812B","LED_WS2812B-PLCC4",143.002000,-76.222500,0.000000,top
"U18","WS2812B","LED_WS2812B-PLCC4",134.112000,-76.222500,0.000000,top
"U19","WS2812B","LED_WS2812B-PLCC4",134.112000,-85.222500,0.000000,top
"U20","WS2812B","LED_WS2812B-PLCC4",134.312000,-95.222500,0.000000,top
"U21","WS2812B","LED_WS2812B-PLCC4",134.312000,-104.972500,0.000000,top
"U22","WS2812B","LED_WS2812B-PLCC4",134.312000,-114.722500,0.000000,top
"U23","WS2812B","LED_WS2812B-PLCC4",134.312000,-124.472500,0.000000,top
"U24","WS2812B","LED_WS2812B-PLCC4",134.312000,-133.222500,0.000000,top
"U25","WS2812B","LED_WS2812B-PLCC4",144.272000,-133.222500,0.000000,top
"U26","WS2812B","LED_WS2812B-PLCC4",144.562000,-148.722500,0.000000,top
"U27","WS2812B","LED_WS2812B-PLCC4",133.812000,-148.722500,0.000000,top
"U28","WS2812B","LED_WS2812B-PLCC4",121.312000,-148.722500,0.000000,top
"U29","WS2812B","LED_WS2812B-PLCC4",110.812000,-148.722500,0.000000,top
"U30","WS2812B","LED_WS2812B-PLCC4",111.312000,-133.222500,0.000000,top
"U31","WS2812B","LED_WS2812B-PLCC4",120.642000,-133.222500,0.000000,top
"U32","WS2812B","LED_WS2812B-PLCC4",120.642000,-124.472500,0.000000,top
"U33","WS2812B","LED_WS2812B-PLCC4",120.642000,-114.722500,0.000000,top
"U34","WS2812B","LED_WS2812B-PLCC4",120.642000,-104.972500,0.000000,top
"U35","WS2812B","LED_WS2812B-PLCC4",120.642000,-95.222500,0.000000,top
"U36","WS2812B","LED_WS2812B-PLCC4",120.642000,-85.222500,0.000000,top
"U37","WS2812B","LED_WS2812B-PLCC4",120.812000,-76.222500,0.000000,top
"U38","WS2812B","LED_WS2812B-PLCC4",112.312000,-76.222500,0.000000,top
"U39","WS2812B","LED_WS2812B-PLCC4",103.562000,-76.222500,0.000000,top
"U40","WS2812B","LED_WS2812B-PLCC4",103.562000,-87.322500,0.000000,top
"U41","L7805","SOT-223-3_TabPin2",128.850000,-141.211500,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_SeikoEpson_TSX3225-4pin_3.2x2.5mm",110.337500,-68.918000,90.000000,top
